# Citizen Ledger — special districts — COMPLETE LAYER EXPORT
# Source dataset: California State Controller — special districts financial transactions reports, as filed
# Accounting basis: Reported as filed with the State Controller, by fund class
# Gate tier: AS FILED — UNRECONCILED. Three of the four fund-class buckets have no published total to check against: for enterprise, internal-service and conduit funds the Controller publishes operating and nonoperating components and never their sum. A control exists for the governmental bucket only. No figure in this file has been verified against an independently published total
# Units: as-filed dollars
# Measured as: REPORTED AS FILED WITH THE STATE CONTROLLER, BY FUND CLASS · AS-FILED DOLLARS · NOMINAL AS PUBLISHED · ALL SHIPPED YEARS · AS FILED
# Data generated: 2026-07-26
# Exported: 2026-07-28
# Absent values: Empty cell = not published by the source. It is NOT zero. A real reported zero is written as 0.
# Licence: CC0 1.0 Universal (public domain). Cite freely; no permission needed.
# Stability: This file's SHAPE is not stable. The Ledger is actively developed: columns may be added, renamed or split as layers change. Pin a copy if you need reproducibility. The DATA is CC0 and that does not change.
# Schema: bulk/SCHEMA.md · Method: about.html · Findings: findings.html
# Fund-class columns: gov = governmental funds; ent = enterprise funds; isf = internal service funds; cf = conduit financing
# filing_status is the Controller's own per-year code for that district; '-' means no filing is recorded for that year.
# An entity-year with no filing at all is omitted rather than written as zero.
slug,name,county,activity,district_type,fiscal_year,filing_status,exp_gov_usd,exp_ent_usd,exp_isf_usd,exp_cf_usd,rev_gov_usd,rev_ent_usd,rev_isf_usd,rev_cf_usd
aggie-square-enhanced-infrastructure-financing-district,Aggie Square Enhanced Infrastructure Financing District,Sacramento,Enhanced Infrastructure Financing District,Independent,2023-24,F,,,,,-8248,0,0,0
agoura-hills-and-calabasas-community-center-authority,Agoura Hills and Calabasas Community Center Authority,Los Angeles,Joint Powers Authority (JPA),Joint Powers Authority (JPA),2016-17,F,0,1580925,0,0,0,1479897,0,0
agoura-hills-and-calabasas-community-center-authority,Agoura Hills and Calabasas Community Center Authority,Los Angeles,Joint Powers Authority (JPA),Joint Powers Authority (JPA),2017-18,F,0,1779560,0,0,0,1562030,0,0
agoura-hills-and-calabasas-community-center-authority,Agoura Hills and Calabasas Community Center Authority,Los Angeles,Joint Powers Authority (JPA),Joint Powers Authority (JPA),2018-19,F,0,1696715,0,0,0,1583282,0,0
agoura-hills-and-calabasas-community-center-authority,Agoura Hills and Calabasas Community Center Authority,Los Angeles,Joint Powers Authority (JPA),Joint Powers Authority (JPA),2019-20,F,0,1449863,0,0,0,924199,0,0
agoura-hills-and-calabasas-community-center-authority,Agoura Hills and Calabasas Community Center Authority,Los Angeles,Joint Powers Authority (JPA),Joint Powers Authority (JPA),2020-21,F,0,303606,0,0,0,163016,0,0
agoura-hills-and-calabasas-community-center-authority,Agoura Hills and Calabasas Community Center Authority,Los Angeles,Joint Powers Authority (JPA),Joint Powers Authority (JPA),2021-22,F,0,317963,0,0,0,100492,0,0
agoura-hills-and-calabasas-community-center-authority,Agoura Hills and Calabasas Community Center Authority,Los Angeles,Joint Powers Authority (JPA),Joint Powers Authority (JPA),2022-23,F,0,248404,0,0,0,1054835,0,0
agoura-hills-and-calabasas-community-center-authority,Agoura Hills and Calabasas Community Center Authority,Los Angeles,Joint Powers Authority (JPA),Joint Powers Authority (JPA),2023-24,F,0,254877,0,0,0,211898,0,0
agoura-hills-financing-authority,Agoura Hills Financing Authority,Los Angeles,Joint Powers Authority (JPA),Joint Powers Authority (JPA),2016-17,F,220867,0,0,0,10515005,0,0,0
agoura-hills-financing-authority,Agoura Hills Financing Authority,Los Angeles,Joint Powers Authority (JPA),Joint Powers Authority (JPA),2017-18,F,,,,,22,0,0,0
agoura-hills-financing-authority,Agoura Hills Financing Authority,Los Angeles,Joint Powers Authority (JPA),Joint Powers Authority (JPA),2018-19,F,,,,,1095,0,0,0
agoura-hills-financing-authority,Agoura Hills Financing Authority,Los Angeles,Joint Powers Authority (JPA),Joint Powers Authority (JPA),2019-20,F,,,,,18,0,0,0
agoura-hills-financing-authority,Agoura Hills Financing Authority,Los Angeles,Joint Powers Authority (JPA),Joint Powers Authority (JPA),2020-21,F,,,,,4,0,0,0
agoura-hills-financing-authority,Agoura Hills Financing Authority,Los Angeles,Joint Powers Authority (JPA),Joint Powers Authority (JPA),2022-23,F,,,,,29,0,0,0
agoura-hills-financing-authority,Agoura Hills Financing Authority,Los Angeles,Joint Powers Authority (JPA),Joint Powers Authority (JPA),2023-24,F,,,,,53,0,0,0
agoura-hills-improvement-authority,Agoura Hills Improvement Authority,Los Angeles,Joint Powers Authority (JPA),Joint Powers Authority (JPA),2016-17,F,686780,0,0,0,707890,0,0,0
agoura-hills-improvement-authority,Agoura Hills Improvement Authority,Los Angeles,Joint Powers Authority (JPA),Joint Powers Authority (JPA),2017-18,F,909458,0,0,0,913835,0,0,0
agoura-hills-improvement-authority,Agoura Hills Improvement Authority,Los Angeles,Joint Powers Authority (JPA),Joint Powers Authority (JPA),2018-19,F,910400,0,0,0,922705,0,0,0
agoura-hills-improvement-authority,Agoura Hills Improvement Authority,Los Angeles,Joint Powers Authority (JPA),Joint Powers Authority (JPA),2019-20,F,913716,0,0,0,916557,0,0,0
agoura-hills-improvement-authority,Agoura Hills Improvement Authority,Los Angeles,Joint Powers Authority (JPA),Joint Powers Authority (JPA),2020-21,F,905064,0,0,0,912939,0,0,0
