# Citizen Ledger — cities — COMPLETE LAYER EXPORT
# Source dataset: City annual financial reports, State Controller's Office “By the Numbers” (bythenumbers.sco.ca.gov) — reported actual expenditures and revenues
# Accounting basis: Reported actual revenues and expenditures from standardized annual financial reports filed with the State Controller; governmental activities only — ratepayer-funded enterprise funds, internal service funds and conduit financing are excluded from the function figures
# Gate tier: AS FILED — reconciled to the Controller's published statewide totals where one exists; the function split is the Controller's own
# Units: millions of dollars; population in persons
# Measured as: REPORTED ACTUAL REVENUES AND EXPENDITURES FROM STANDARDIZED ANNUAL FINANCIAL REPORTS FILED WITH THE STATE CONTROLLER · MILLIONS OF DOLLARS · NOMINAL AS PUBLISHED · ALL SHIPPED YEARS · AS FILED
# Data generated: 2026-07-26
# Exported: 2026-07-28
# Absent values: Empty cell = not published by the source. It is NOT zero. A real reported zero is written as 0.
# Licence: CC0 1.0 Universal (public domain). Cite freely; no permission needed.
# Stability: This file's SHAPE is not stable. The Ledger is actively developed: columns may be added, renamed or split as layers change. Pin a copy if you need reproducibility. The DATA is CC0 and that does not change.
# Schema: bulk/SCHEMA.md · Method: about.html · Findings: findings.html
# A $0 in a function column can be a real filed zero — a city that contracts the service to its county files $0. The site's services checklist distinguishes the two; see about.html.
# Function columns: exp_police_musd = Police; exp_fire_musd = Fire; exp_safetyOther_musd = Other public safety; exp_streets_musd = Streets & transportation; exp_housing_musd = Community development & housing; exp_sanitation_musd = Sewer & solid waste; exp_health_musd = Health & welfare; exp_parks_musd = Parks & recreation; exp_library_musd = Libraries; exp_cultureOther_musd = Other culture & leisure; exp_utilities_musd = Public utilities (governmental); exp_admin_musd = General government; exp_other_musd = Other expenditures; exp_debt_musd = Debt service; exp_capital_musd = Capital outlay
# An entity-year absent from this file filed nothing for that year.
slug,name,county,fiscal_year,population,revenues_musd,expenditures_musd,exp_police_musd,exp_fire_musd,exp_safetyOther_musd,exp_streets_musd,exp_housing_musd,exp_sanitation_musd,exp_health_musd,exp_parks_musd,exp_library_musd,exp_cultureOther_musd,exp_utilities_musd,exp_admin_musd,exp_other_musd,exp_debt_musd,exp_capital_musd
american-canyon,American Canyon,Napa,2016-17,20570,22.862,26.421,6.467,0,0,2.508,4.642,0,0,4,0,0,0,4.911,0.41,0.898,2.585
american-canyon,American Canyon,Napa,2017-18,20990,34.247,29.181,6.631,5.399,0,2.7,2.544,0,0,3.934,0,0,0,4.977,0,0.896,2.099
american-canyon,American Canyon,Napa,2018-19,20629,40.501,30.2,6.868,5.481,0,2.248,3.969,0,0,3.593,0,0,0,5.544,0,0.826,1.67
american-canyon,American Canyon,Napa,2019-20,20837,32.67,31.397,7.185,5.667,0,3.717,1.914,0,0,3.191,0,0,0,5.53,0,0.76,3.432
american-canyon,American Canyon,Napa,2020-21,21566,34.117,38.288,7.332,6.454,0,2.33,1.941,0,0,3.321,0,0,0,4.976,0,4.913,7.022
american-canyon,American Canyon,Napa,2021-22,21658,36.812,37.502,7.937,6.852,0,3.517,2.322,0,0,3.262,0,0,0,6.421,0,2.229,4.961
american-canyon,American Canyon,Napa,2022-23,21338,41.914,41.052,8.323,7.024,0,5.338,3.778,0,0,3.425,0,0,0,7.539,0,0.29,5.334
american-canyon,American Canyon,Napa,2023-24,21758,45.664,42.694,9.207,7.77,0,5.359,3.732,0,0,3.899,0,0,0,7.383,0,0.807,4.534
anaheim,Anaheim,Orange,2016-17,358546,602.857,518.381,146.303,68.924,7.198,23.409,136.11,0,0,21.057,8.892,1.169,0,19.094,0,41.693,44.532
anaheim,Anaheim,Orange,2017-18,357084,566.155,544.968,153.121,72.902,8.764,25.685,140.491,0,0,22.839,9.254,1.13,0,21.255,0,43.161,46.366
anaheim,Anaheim,Orange,2018-19,359339,592.695,586.838,157.243,75.777,9.07,26.676,147.711,0,0,23.922,9.781,1.598,0,27.047,0,64.821,43.191
anaheim,Anaheim,Orange,2019-20,357325,574.869,685.884,167.65,84.739,8.732,23.138,159.873,0,0,28.721,10.673,1.211,0,33.392,0,96.64,71.117
anaheim,Anaheim,Orange,2020-21,344604,547.085,593.181,158.88,91.859,7.858,24.968,165.804,0,0,22.104,9.863,1.182,0,32.898,0,48.514,29.25
anaheim,Anaheim,Orange,2021-22,341245,743.221,650.534,167.31,82.099,17.071,23.025,218.954,0,0,25.104,10.086,1.246,0,32.99,0,50.332,22.318
anaheim,Anaheim,Orange,2022-23,328580,782.718,739.044,189.045,95.134,22.344,26.295,204.383,0,0,28.036,12.43,1.317,0,37.76,0,55.431,66.87
anaheim,Anaheim,Orange,2023-24,340160,858.881,786.232,207.78,98.695,24.728,29.832,239.67,0,0,31.006,14.817,1.844,0,38.303,0,57.002,42.556
anderson,Anderson,Shasta,2016-17,10450,9.354,8.379,4.102,0,0.075,0.553,0.883,0,0,0.838,0,0,0,0.843,0,0.807,0.278
anderson,Anderson,Shasta,2017-18,10263,10.053,9.926,4.625,0,0.071,0.566,0.994,0,0,0.974,0,0,0,0.841,0,0.817,1.037
anderson,Anderson,Shasta,2018-19,10431,12.307,11.738,5.072,0,0.073,0.338,1.817,0,0,1.545,0,0,0,0.786,0,0.828,1.279
anderson,Anderson,Shasta,2019-20,10671,11.474,11.625,5.49,0,0.065,0.534,1.117,0,0,0.992,0,0,0,0.996,0,0.872,1.558
anderson,Anderson,Shasta,2020-21,11181,13.225,12.982,5.739,0,0.068,0.429,1.048,0,0,1.174,0,0,0,1.121,0,0.806,2.596
anderson,Anderson,Shasta,2021-22,11088,16.63,13.719,6.892,0,0.075,0.522,1.249,0,0,1.694,0,0,0,1.116,0,0.487,1.684
anderson,Anderson,Shasta,2022-23,11027,16.077,15.892,8.191,0,0.034,0.91,1.743,0,0.048,1.476,0,0,0,1.186,0,0.258,2.046
anderson,Anderson,Shasta,2023-24,10943,14.85,17.336,8.61,0,0.038,2.375,1.409,0,0,1.823,0,0,0,1.959,0,0.097,1.024
angels,Angels,Calaveras,2016-17,4020,4.357,4.379,1.504,0.736,0.036,0.452,0.434,0,0,0.049,0,0.246,0.23,0.504,0,0.054,0.134
angels,Angels,Calaveras,2017-18,4121,5.131,4.967,1.58,0.742,0.021,0.432,0.596,0,0,0.067,0,0.224,0.085,0.399,0,0.046,0.774
angels,Angels,Calaveras,2018-19,3840,5.137,4.425,1.43,0.843,0.022,0.514,0.416,0,0,0.053,0,0.121,0.085,0.421,0,0.017,0.503
angels,Angels,Calaveras,2019-20,4123,5.412,4.921,1.469,0.858,0.036,0.288,0.524,0,0,0.054,0,0.098,0.18,0.621,0,0.032,0.761
angels,Angels,Calaveras,2020-21,3641,8.743,6.846,1.434,1.096,0.037,0.502,0.551,0,0,0.093,0,0.016,0.415,0.378,0,0.007,2.316
angels,Angels,Calaveras,2021-22,3623,9.202,8.502,1.692,1.019,0.04,0.55,0.639,0,0,0.084,0,0.012,0.417,1.015,0,0.007,3.026
angels,Angels,Calaveras,2022-23,3542,9.109,7.903,1.25,1.751,0,0.669,0.73,0,0,0.002,0,0,0.49,1.361,0,0.007,1.641
angels,Angels,Calaveras,2023-24,3587,7.538,7.828,2.061,0.988,0,0.892,0.854,0,0,0,0,0,0,1.511,0,0.005,1.517
antioch,Antioch,Contra Costa,2016-17,114241,67.86,60.296,35.537,0,1.634,7.778,5.291,0,0.975,3.183,0,0,0,2.616,0,0.879,2.402
antioch,Antioch,Contra Costa,2017-18,113061,73.301,67.41,37.055,0,1.942,5.881,6.179,0,1.022,3.07,0,0,0,3.707,0,2.082,6.471
antioch,Antioch,Contra Costa,2018-19,113901,85.437,72.921,35.94,0,2.096,6.368,5.81,0,0.853,5.236,0,0,0,8.893,0,0.889,6.834
antioch,Antioch,Contra Costa,2019-20,112520,91.756,91.909,41.181,0,2.616,12.021,7.196,0.262,0.879,5.378,0,0,0,11.74,0,0.896,9.74
antioch,Antioch,Contra Costa,2020-21,115142,106.639,88.254,44.592,0,2.683,9.332,7.401,0.3,1.391,4.619,0,0,0,11.984,0,0.391,5.561
antioch,Antioch,Contra Costa,2021-22,115074,117.729,94.634,46.022,0,2.577,9.086,9.04,0.315,0.921,6.811,0,0,0,13.558,0,0.345,5.959
antioch,Antioch,Contra Costa,2022-23,115442,120.389,104.952,46.133,0,2.947,8.219,11.56,0.365,2.707,8.056,0,0,0,14.946,0,1.167,8.854
antioch,Antioch,Contra Costa,2023-24,115632,126.236,109.817,46.077,0,2.964,12.008,9.618,0.302,5.408,9.349,0,0,0,14.593,0,2.08,7.418
