# Citizen Ledger — counties — COMPLETE LAYER EXPORT
# Source dataset: County annual financial reports, State Controller's Office “By the Numbers” (bythenumbers.sco.ca.gov) — reported actual expenditures and revenues
# Accounting basis: Reported actual revenues and expenditures from standardized annual financial reports filed with the State Controller; governmental activities only — ratepayer-funded enterprise funds, internal service funds and conduit financing are excluded from the function figures
# Gate tier: AS FILED — reconciled to the Controller's published statewide totals where one exists; the function split is the Controller's own
# Units: millions of dollars; population in persons
# Data generated: 2026-07-24
# Exported: 2026-07-27
# Absent values: Empty cell = not published by the source. It is NOT zero. A real reported zero is written as 0.
# Licence: CC0 1.0 Universal (public domain). Cite freely; no permission needed.
# Stability: This file's SHAPE is not stable. The Ledger is actively developed: columns may be added, renamed or split as layers change. Pin a copy if you need reproducibility. The DATA is CC0 and that does not change.
# Schema: bulk/SCHEMA.md · Method: about.html · Findings: findings.html
# A county serves the whole county, including residents of every city inside it. County and city figures must not be added.
# Function columns: exp_police_musd = Police protection (sheriff); exp_detention_musd = Detention & correction; exp_judicial_musd = Judicial; exp_fire_musd = Fire protection; exp_protectionOther_musd = Other public protection; exp_streets_musd = Public ways & facilities; exp_health_musd = Health; exp_sanitation_musd = Sanitation; exp_assistance_musd = Public assistance; exp_education_musd = Education; exp_recreation_musd = Recreation & cultural; exp_admin_musd = General government; exp_debt_musd = Debt service; exp_capital_musd = Capital outlay
# An entity-year absent from this file filed nothing for that year.
slug,name,county,fiscal_year,population,revenues_musd,expenditures_musd,exp_police_musd,exp_detention_musd,exp_judicial_musd,exp_fire_musd,exp_protectionOther_musd,exp_streets_musd,exp_health_musd,exp_sanitation_musd,exp_assistance_musd,exp_education_musd,exp_recreation_musd,exp_admin_musd,exp_debt_musd,exp_capital_musd
fresno,Fresno,,2021-22,1011273,2019.148,2052.656,272.9,90.219,108.33,0,42.917,87.411,433.966,0,769.39,30.027,3.716,59.297,56.498,97.985
fresno,Fresno,,2022-23,1011499,2214.253,2117.786,154.471,232.744,139.965,0,38.809,106.895,436.317,0,802.853,32.455,4.104,57.468,89.603,22.102
fresno,Fresno,,2023-24,1017431,2373.335,2281.931,165.067,242.891,143.545,0,42.173,118.752,465.241,0,859.017,33.344,4.375,53.797,89.101,64.628
glenn,Glenn,,2016-17,28731,68.527,67.758,5.59,7.285,3.667,0,3.457,5.734,14.888,0,20.376,0.395,0,4.924,0.308,1.134
glenn,Glenn,,2017-18,28796,78.479,73.698,6.974,7.265,3.501,0,4.152,4.448,16.087,0,22.077,0.429,0,6.897,0.318,1.55
glenn,Glenn,,2018-19,29132,83.807,87.07,7.824,7.966,3.38,0.655,4.962,5.253,20.134,0,23.033,0.517,0,8.035,0.468,4.844
glenn,Glenn,,2019-20,29400,92.308,94.043,8.529,7.801,3.821,0.417,5.831,6.494,22.493,0.54,25.002,0.503,0,8.671,0.56,3.383
glenn,Glenn,,2020-21,28788,104.234,94.429,8.822,7.713,3.219,0.693,6.33,6.656,21.656,0.529,26.269,0.446,0,9.761,0.593,1.743
glenn,Glenn,,2021-22,28750,107.602,113.031,9.593,8.679,3.587,0.673,6.575,7.771,22.509,0.55,29.796,0.559,0,10.821,1.999,9.919
glenn,Glenn,,2022-23,28636,124.86,125.533,10.163,8.561,3.774,0.98,6.68,7.371,27.255,0.541,39.55,0.652,0,13.829,1.517,4.658
glenn,Glenn,,2023-24,28736,132.07,133.753,11.724,8.954,4.366,0.837,6.926,9.475,31.171,0.698,36.079,0.708,0,15.248,2.106,5.461
humboldt,Humboldt,,2016-17,136953,262.103,283.953,16.278,24.313,14.752,0,18.237,17.252,54.701,0,103.032,3.828,1.223,26.886,2.063,1.387
humboldt,Humboldt,,2017-18,136002,321.198,322.663,20.99,25.124,16.861,0,22.564,20.954,64.195,0,106.663,3.176,2.023,27.273,1.852,10.988
humboldt,Humboldt,,2018-19,135333,339.528,351.871,19.903,26.495,17.158,0.153,25.953,29.105,72.92,0,116.365,3.648,1.541,32.426,1.638,4.566
humboldt,Humboldt,,2019-20,133302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
humboldt,Humboldt,,2020-21,133302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
humboldt,Humboldt,,2021-22,135168,415.434,398.834,28.305,29.818,18.977,1.61,25.284,34.935,87.043,0,128.885,4.155,3.109,35.455,0.168,1.089
humboldt,Humboldt,,2022-23,134047,395.2,431.508,27.543,31.844,20.131,2.491,37.337,37.073,99.51,0,140.832,4.982,2.04,26.633,0.113,0.979
humboldt,Humboldt,,2023-24,133100,488.273,491.779,32.335,37.665,21.038,0.353,35.02,47.283,107.333,1.312,164.304,5.227,6.251,29.96,0.331,3.368
imperial,Imperial,,2016-17,188334,380.25,385.858,23.401,32.117,19.537,8.828,19.395,18.796,83.194,0,130.522,1.103,0.884,25.097,6.705,16.279
imperial,Imperial,,2017-18,190624,386.991,386.953,22.845,32.252,18.837,9.35,20.674,21.075,88.806,0,126.689,1.2,0.897,21.549,6.696,16.082
imperial,Imperial,,2018-19,190266,376.686,385.819,24.268,30.267,18.816,9.215,15.742,31.079,79.175,0,138.015,1.202,0.787,22.507,6.701,8.045
imperial,Imperial,,2019-20,188777,417.447,400.455,27.843,31.617,19.733,10.334,16.915,25.814,86.207,0,144.723,1.451,0.824,23.193,6.703,5.098
imperial,Imperial,,2020-21,179488,457.609,419.378,26.445,30.571,19.231,10.255,18.624,22.735,89.353,0,160.817,1.54,0.705,28.27,6.682,4.15
imperial,Imperial,,2021-22,179329,449.758,436.903,26.292,33.211,20.117,11.276,21.673,28.169,94.293,0,161.386,1.591,0.861,26.958,3.528,7.548
imperial,Imperial,,2022-23,179476,509.236,493.943,27.239,36.906,22.039,9.972,24.095,35.549,115.4,0,178.329,1.648,0.86,29.614,3.525,8.768
imperial,Imperial,,2023-24,182881,523.457,514.757,26.691,40.594,23.362,12.624,23.852,43.861,119.139,0,177.18,2.075,0.954,34.667,3.529,6.228
inyo,Inyo,,2016-17,18619,67.322,65.008,7.15,7.642,4.689,0,4.99,7.991,9.655,0,8.396,0.53,1.508,12.057,0.399,0
inyo,Inyo,,2017-18,18577,70.032,65.208,7.018,7.881,4.795,0,4.829,7.463,9.646,0,8.644,0.53,1.183,12.807,0.413,0
inyo,Inyo,,2018-19,18593,74.957,66.096,7.306,8.117,4.466,0,5.221,5.806,10.239,0,8.726,0.584,1.156,14.05,0.424,0
inyo,Inyo,,2019-20,18584,78.908,74.022,7.9,8.528,4.596,0,5.524,6.526,10.628,0,10.572,0.682,1.138,14.644,0.435,2.848
inyo,Inyo,,2020-21,18982,86.532,79.309,8.42,8.483,4.426,0,6.87,5.549,11.383,0,10.667,0.745,1.12,16.389,0.495,4.76
inyo,Inyo,,2021-22,18978,94.079,90.13,8.924,8.28,5.16,0,6.159,5.828,12.024,0,11.176,0.876,1.386,17.983,0.486,11.848
inyo,Inyo,,2022-23,18896,103.535,91.632,10.018,8.751,5.542,0.005,6.351,6.35,12.297,0,11.766,0.891,1.565,20.784,0.472,6.84
inyo,Inyo,,2023-24,18856,112.333,102.442,11.308,9.463,6.025,0,6.877,6.605,14.766,0,12.881,0.993,1.846,21.419,2.786,7.472
kern,Kern,,2016-17,895112,1525.671,1517.953,105.657,162.735,102.352,143.469,36.474,23.359,202.124,0,458.144,7.652,8.135,85.957,65.559,116.336
kern,Kern,,2017-18,905801,1537.874,1540.151,108.878,163.24,104.548,146.404,37.142,26.2,223.499,0,477.788,7.357,7.757,94.019,62.132,81.189
